Vacancy;Company;Salary range;Curr;Brutto/netto;Link
INVESTICIJŲ APSKAITOS SPECIALISTAS (-Ė);UAB „People Link“;1800-2200;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/investiciju-apskaitos-specialistas-e-vilniuje/1-11116525
PROJEKTŲ VADOVAS (-Ė) (VALYMO PASLAUGOS);Pastatų administravimo, priežiūros ir inžinerinių sprendimų įmonių grupė;2400-2600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-valymo-paslaugos-vilniuje/1-11116843
Lauko inžinerinių tinklų darbų vadovas;UAB „Gilva“;1800-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/lauko-inzineriniu-tinklu-darbu-vadovas-vilniuje/1-6314171
Apskaitos projektų vadovas (-ė);UAB „BDO auditas ir apskaita“;1700-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/apskaitos-projektu-vadovas-e-vilniuje/1-11116457
ERP diegimų projektų vadovas (-ė);UAB „People Link“;4000-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/erp-diegimu-projektu-vadovas-e-vilniuje/1-11116401
Statybų projektų vadovas (-ė);SBA Grupė;2700-3000;€/mėn.;Į rankas;https://www.cvbankas.lt/statybu-projektu-vadovas-e-vilniuje/1-11116223
Statybos darbų vadovas (-ė) - Lauko inžinerinių tinklų;UAB „Gevalda“;3300-4000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-darbu-vadovas-e-lauko-inzineriniu-tinklu-vilniuje/1-8644906
Pardavimų projektų vadovas (-ė);Edrana Baltic, UAB;1400-1600;€/mėn.;Į rankas;https://www.cvbankas.lt/pardavimu-projektu-vadovas-e-vilniuje/1-11115853
Projektų vadovas (-ė) – Atsinaujinančių energetikos išteklių centre;EPSO-G grupė;2400-3300;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-atsinaujinanciu-energetikos-istekliu-centre-vilniuje/1-10898942
Online marketingo projektų vadovas (-ė);UAB „Kesko Senukai Digital“;Nuo 1750;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/online-marketingo-projektu-vadovas-e-vilniuje/1-11115413
PARDAVIMO PROJEKTŲ VADOVAS (-Ė) (VERSLO SKOLŲ IŠIEŠKOJIMAS);UAB „Coface Baltics Services“;2200-2800;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimo-projektu-vadovas-e-verslo-skolu-isieskojimas-vilniuje/1-10388607
Statybos darbų vadovas (-ė);UAB „Gevalda“;3300-4000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-darbu-vadovas-e-vilniuje/1-6322667
Statybų projektų vadovas (-ė);„Teltonikos“ įmonių grupė;3000-4000;€/mėn.;Į rankas;https://www.cvbankas.lt/statybu-projektu-vadovas-e-vilniuje/1-10581798
Projektų vadovas (-ė) Nekilnojamojo turto ir planavimo skyriuje;EPSO-G grupė;2200-2900;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-nekilnojamojo-turto-ir-planavimo-skyriuje-vilniuje/1-10661676
Statybos projektų vadovas;UAB „Pavilnio investicijos“;1600-1800;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-projektu-vadovas-vilniuje/1-11111573
Elektromobilių įkrovimo stotelių, elektros energijos kaupimo įrenginių bei saulės parkų projektų vadovas (-ė);UAB „Axioma servisas“;1850-2050;€/mėn.;Į rankas;https://www.cvbankas.lt/elektromobiliu-ikrovimo-stoteliu-elektros-energijos-kaupimo-irenginiu-bei-saules-parku-projektu-vadovas-e-vilniuje/1-11113067
Apsaugos sistemų vadovas (-ė);„Lietuvos geležinkelių“ grupė;1840-2760;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/apsaugos-sistemu-vadovas-e-vilniuje/1-11113119
ZOOMBOOK PROJEKTO VADOVAS (-Ė);UAB „BALTO trader“;Nuo 2900;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/zoombook-projekto-vadovas-e-vilniuje/1-11112149
PRODUKTO VADOVAS (-Ė) eSVEIKATOS SKYRIUJE;Registrų Centras, VĮ;2384-3576;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/produkto-vadovas-e-esveikatos-skyriuje-vilniuje/1-11112151
OBJEKTO STATYBŲ VADOVAS (-Ė);UAB „Sirin Development“;3360-3800;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/objekto-statybu-vadovas-e-vilniuje/1-10998607
STATYBOS PROJEKTŲ VADOVAS (-Ė);UAB „Sirin Development“;4100-4630;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-projektu-vadovas-e-vilniuje/1-10998571
PRODUKTO VADOVAS (-Ė);Registrų Centras, VĮ;2384-3576;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/produkto-vadovas-e-vilniuje/1-11112061
Verslo klientų projektų vadovas (darbas su esamais klientais);UAB „TELE2“;2149-3900;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/verslo-klientu-projektu-vadovas-darbas-su-esamais-klientais-vilniuje/1-11112095
Pardavimo projektų vadovas - vadybininkas (medicinos prekės, įranga);Įmonės pavadinimas paslėptas;1100-1200;€/mėn.;Į rankas;https://www.cvbankas.lt/pardavimo-projektu-vadovas-vadybininkas-medicinos-prekes-iranga-vilniuje/1-4485533
IT Techninių sprendimų vadovas;Telia;2300-3450;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/it-techniniu-sprendimu-vadovas-vilniuje/1-11112011
Energetikos projektų vadovas (-ė);TMV Capital įmonių grupė;2500-3000;€/mėn.;Į rankas;https://www.cvbankas.lt/energetikos-projektu-vadovas-e-vilniuje/1-11014185
Statybos darbų vadovas;UAB „Aimena“;1700-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-darbu-vadovas-vilniuje/1-9619043
PROJEKTŲ VADOVAS (-Ė) PARODŲ STENDAI;UAB „INK IDEA“;Nuo 2400;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-parodu-stendai-vilniuje/1-11111559
Strateginės infrastruktūros departamento vadovas (-ė);EPSO-G grupė;6200-7500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/strategines-infrastrukturos-departamento-vadovas-e-vilniuje/1-10710584
Pardavimų projektų vadovas (-ė);UAB „ISS Lietuva“;Nuo 3600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-projektu-vadovas-e-vilniuje/1-11109445
Procesų vadovas (-ė);AB ŠIAULIŲ BANKAS;2740-3500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/procesu-vadovas-e-vilniuje/1-11109459
Verslo klientų projektų vadovas (-ė);CITY SERVICE įmonių grupė;1897-2631;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/verslo-klientu-projektu-vadovas-e-vilniuje/1-10582110
PROJEKTŲ VADOVAS (-Ė);UAB „INK IDEA“;Nuo 2400;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-9512520
Media projektų vadovas (-ė) (Account manager);UAB „BPN LT“;1700-2200;€/mėn.;Į rankas;https://www.cvbankas.lt/media-projektu-vadovas-e-account-manager-vilniuje/1-11091809
Viešųjų pirkimų projektų vadovas (-ė);EPSO-G grupė;2650-3300;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/viesuju-pirkimu-projektu-vadovas-e-vilniuje/1-11108413
PARDAVIMO PROJEKTŲ VADOVAS (-Ė) (B2B);UAB „GiveLove“;1300-1400;€/mėn.;Į rankas;https://www.cvbankas.lt/pardavimo-projektu-vadovas-e-b2b-vilniuje/1-10474984
Specialistas (-ė) Investicijų apskaitos grupėje;AB ŠIAULIŲ BANKAS;1790-2200;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/specialistas-e-investiciju-apskaitos-grupeje-vilniuje/1-11108241
Resursų užtikrinimo padalinio vadovas (-ė);UAB „Hotrema“;Nuo 5000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/resursu-uztikrinimo-padalinio-vadovas-e-vilniuje/1-10971962
Centralizuotų sveikatos priežiūros įstaigų pirkimų poskyrio vadovas (-ė);Vilniaus miesto savivaldybės administracija;2338-3910;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/centralizuotu-sveikatos-prieziuros-istaigu-pirkimu-poskyrio-vadovas-e-vilniuje/1-11107989
Projektų valdymo vadovas (-ė);UAB „Verslo investicijos personalui“;3400-5000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-valdymo-vadovas-e-vilniuje/1-11106495
